mode,normalized_radius,mean,std,count,se
strong_only,0.5364583333333334,103.84539942490744,169.41367147516425,288,9.982796327149886
strong_only,0.546875,98.27520561681246,163.39340164037165,288,9.628048525086998
strong_only,0.5572916666666666,95.07566690163668,158.23011220144969,288,9.323798777129447
strong_only,0.5677083333333334,91.09418678687068,152.60702937270676,288,8.992455443847966
strong_only,0.578125,87.61826495497259,149.36273207809162,288,8.801283392414005
strong_only,0.5885416666666666,83.20938406056149,143.47374337038926,288,8.454271404951726
strong_only,0.5989583333333334,80.96349147629893,138.79159440368795,288,8.17837313121172
strong_only,0.609375,77.93707292976026,134.69062666226506,288,7.936721289596103
strong_only,0.6197916666666666,74.76728599924336,132.04966704048883,288,7.781101251479616
strong_only,0.6302083333333334,73.02522316479487,128.30295979628184,288,7.5603244098546565
strong_only,0.640625,70.7298813869467,124.41976598690474,288,7.331505020248642
strong_only,0.6510416666666666,68.89186800399708,122.49529871366984,288,7.218104698658977
strong_only,0.6614583333333334,66.40701239577498,119.45216968228179,288,7.038786600815632
strong_only,0.671875,65.53311273631981,118.23829062828142,288,6.9672580915969675
strong_only,0.6822916666666666,63.885046687191725,115.5184619201761,288,6.806990647999707
strong_only,0.6927083333333334,62.09343277773352,113.44071865559154,288,6.684558452003673
strong_only,0.703125,61.352270008060614,111.5338880518836,288,6.572197381132345
strong_only,0.7135416666666666,52.84337628752814,105.89467971960936,288,6.23990384344278
strong_only,0.7239583333333334,48.24195683542112,102.21248443656916,288,6.022928405585209
strong_only,0.734375,45.35640456738887,98.30265540387246,288,5.792539520393553
strong_only,0.7447916666666666,42.85585589735259,94.7176782425704,288,5.581292715297254
strong_only,0.7552083333333334,40.58917830184096,90.5115920487367,288,5.33344670947101
strong_only,0.765625,39.27586126634358,89.09252172400677,288,5.249827188671249
strong_only,0.7760416666666666,37.623998367701624,86.07509104273501,288,5.072023380630616
strong_only,0.7864583333333334,36.023930740640004,82.43127512937515,288,4.857309468819598
strong_only,0.796875,34.88416642352067,81.56810253939403,288,4.806446536177098
strong_only,0.8072916666666666,33.714642189668915,79.33706876056412,288,4.674981610004858
strong_only,0.8177083333333334,32.3563292310279,76.03587704612582,288,4.480457022731843
strong_only,0.828125,31.01038607112416,73.09328573061126,288,4.307063166610095
strong_only,0.8385416666666666,30.160100259470433,71.31053453454514,288,4.202013544951196
strong_only,0.8489583333333334,29.28570499681632,69.71521865794033,288,4.108008655411044
strong_only,0.859375,28.173595643671728,67.12553659545561,288,3.9554101764527023
strong_only,0.8697916666666666,27.467883508785125,65.08523971801463,288,3.835184529980014
strong_only,0.8802083333333334,26.530672944558017,62.319985125871945,288,3.672240340495736
strong_only,0.890625,26.074992911139912,62.051167557859365,288,3.6564001133920887
strong_only,0.9010416666666666,25.71208471620519,60.814945735198954,288,3.5835550439042576
strong_only,0.9114583333333334,25.389330677238657,59.98372339037665,288,3.5345747975127884
strong_only,0.921875,25.1224713623669,60.04278399366566,288,3.5380549769366736
strong_only,0.9322916666666666,24.729869321725335,60.27815786433554,288,3.551924515275407
strong_only,0.9427083333333334,24.196353790465942,57.996665954938585,288,3.417486315245671
strong_only,0.953125,23.72949588441628,56.563683236807236,288,3.3330469988028537
strong_only,0.9635416666666666,23.977368934819495,58.30391037323747,288,3.4355908662174093
strong_only,0.9739583333333334,23.673210340152714,57.601720157895095,288,3.394213910971456
strong_only,0.984375,23.667234406929666,56.6091977990612,288,3.3357289701038964
strong_only,0.9947916666666666,22.791423061321538,56.22262525727581,288,3.3129499646274825
strong_then_w1,0.005208333333333333,517285145.00886303,285725892.09066546,288,16836559.654823773
strong_then_w1,0.015625,1330892.0396846456,836850.0451424152,288,49311.86181303919
strong_then_w1,0.026041666666666668,302174.8261860527,185957.63211195433,288,10957.658556646351
strong_then_w1,0.036458333333333336,112660.14140233438,71747.03528873125,288,4227.734598557699
strong_then_w1,0.046875,56918.53932003217,36693.36588519783,288,2162.1773201652095
strong_then_w1,0.057291666666666664,35002.072049619725,24530.513164407945,288,1445.4743503782279
strong_then_w1,0.06770833333333333,23374.57918423858,16921.800448549446,288,997.1266539212396
strong_then_w1,0.078125,16214.314999619994,11597.777188842756,288,683.4055747434473
strong_then_w1,0.08854166666666667,11912.94518930248,8440.42466380714,288,497.3567929893512
strong_then_w1,0.09895833333333333,8987.764930523575,6145.448922429962,288,362.12405054048236
strong_then_w1,0.109375,6854.978332676224,4691.043688837182,288,276.42240026826073
strong_then_w1,0.11979166666666667,5386.638866346802,3748.487853617081,288,220.8817650406704
strong_then_w1,0.13020833333333334,4430.578058677351,3100.669761491198,288,182.70871788087513
strong_then_w1,0.140625,3594.858146194803,2496.1834411448212,288,147.08901985992287
strong_then_w1,0.15104166666666666,2973.693484489409,2159.994677708172,288,127.27890699452497
strong_then_w1,0.16145833333333334,2489.7371639993085,1822.4230506918889,288,107.3873081112425
strong_then_w1,0.171875,2143.044058519266,1625.2444224168448,288,95.76844601471373
strong_then_w1,0.18229166666666666,1855.904958996188,1446.568731787437,288,85.2398799749434
strong_then_w1,0.19270833333333334,1581.6897137425071,1272.4760346461605,288,74.9813694163057
strong_then_w1,0.203125,1407.2300637917137,1168.9117631710185,288,68.87878619557924
strong_then_w1,0.21354166666666666,1228.6647074550647,1061.472809215356,288,62.54788512010939
strong_then_w1,0.22395833333333334,1088.0183708947172,972.8274089576344,288,57.324404816506835
strong_then_w1,0.234375,963.6893795086843,884.9676389021361,288,52.14721821652903
strong_then_w1,0.24479166666666666,869.8257693137588,828.425500468706,288,48.81544075744012
strong_then_w1,0.2552083333333333,778.4804011274972,764.6580361988453,288,45.05790689041601
strong_then_w1,0.265625,698.3933915387757,709.1470025824584,288,41.786887865347545
strong_then_w1,0.2760416666666667,639.1347402025397,667.0380631141624,288,39.30559481146371
strong_then_w1,0.2864583333333333,584.0408232044258,624.8642722229386,288,36.82048035083639
strong_then_w1,0.296875,530.7516012677306,591.7599345279862,288,34.8697885449372
strong_then_w1,0.3072916666666667,490.3414747767513,548.6324294689174,288,32.32847593802681
strong_then_w1,0.3177083333333333,450.2824755613256,521.6027962503482,288,30.735739526207194
strong_then_w1,0.328125,418.1055937605933,498.2016292626297,288,29.35681253748265
strong_then_w1,0.3385416666666667,382.5071855790624,470.9553597302774,288,27.751310708452422
strong_then_w1,0.3489583333333333,358.93063314494316,447.99307630280026,288,26.39824518152771
strong_then_w1,0.359375,335.62004558008067,427.2523640517963,288,25.176086991584057
strong_then_w1,0.3697916666666667,308.1067468809978,400.65319389948445,288,23.608715859197847
strong_then_w1,0.3802083333333333,290.28429484443404,384.6398958985821,288,22.665123225397927
strong_then_w1,0.390625,271.29624254377046,367.661081428545,288,21.66463698804197
strong_then_w1,0.4010416666666667,256.16118653322303,355.3072095641659,288,20.936678107274286
strong_then_w1,0.4114583333333333,238.42824310234587,336.7052316649322,288,19.840546047605088
strong_then_w1,0.421875,225.3231000739717,319.3882538055186,288,18.820133341434364
strong_then_w1,0.4322916666666667,211.9946677819927,306.8115117042792,288,18.07904170601597
strong_then_w1,0.4427083333333333,199.30590523718996,294.9791403821871,288,17.381812539401924
strong_then_w1,0.453125,190.4279823234162,284.5135615795037,288,16.765122394366955
strong_then_w1,0.4635416666666667,179.05884725817245,270.8908806804629,288,15.96239822422927
strong_then_w1,0.4739583333333333,170.58813416159256,260.8574350739877,288,15.371171771978855
strong_then_w1,0.484375,160.73779880952478,250.2428745459711,288,14.74570279458922
strong_then_w1,0.4947916666666667,153.7223890075112,240.3542939959082,288,14.163012597650981
strong_then_w1,0.5052083333333334,145.09978493016663,228.7166586951368,288,13.477258361138365
strong_then_w1,0.515625,137.37132794359172,220.40627126786003,288,12.987564085795462
strong_then_w1,0.5260416666666666,132.1358818927445,212.46586654738942,288,12.519671250527926
strong_then_w1,0.5364583333333334,125.98515201412336,203.90544854787785,288,12.015243782424092
strong_then_w1,0.546875,119.22615295625866,196.66685774786274,288,11.588705729013654
strong_then_w1,0.5572916666666666,115.32341171379431,190.41177761947048,288,11.220121597709372
strong_then_w1,0.5677083333333334,110.48322324614868,183.67801847314658,288,10.823331034772492
strong_then_w1,0.578125,106.27361690728728,179.81208846967854,288,10.595528924685427
strong_then_w1,0.5885416666666666,100.94961040451368,172.72380792589723,288,10.177847988063725
strong_then_w1,0.5989583333333334,98.21797119401691,167.05990110765083,288,9.844099078131162
strong_then_w1,0.609375,94.55483687678097,162.07164261003356,288,9.55016312729978
strong_then_w1,0.6197916666666666,90.7530296311055,158.96384334763763,288,9.36703429954922
