noise_id,noise_name,severity,AP_BG_mAP50_95_baseline,AP_BG_mAP50_95_recsra,AP_WSSV_mAP50_95_baseline,AP_WSSV_mAP50_95_recsra,mAP50_baseline,mAP50_recsra,mAP50_95_baseline,mAP50_95_recsra,mAP75_baseline,mAP75_recsra,precision_baseline,precision_recsra,recall_baseline,recall_recsra,delta_mAP50,delta_mAP50_95,delta_mAP75,delta_precision,delta_recall,delta_AP_BG_mAP50_95,delta_AP_WSSV_mAP50_95
N03,localized_specular_flash_glare,2,4.49762270114307,5.47054420093921,4.126704015408509,3.85119554438424,14.794196214191672,16.11385035220858,4.3121633582757894,4.66086987266172,1.3652066837652899,1.12991764916404,22.712753339102427,23.86624581992555,23.92439825534435,25.437510096386838,1.3196541380169098,0.34870651438593037,-0.23528903460124997,1.1534924808231206,1.5131118410424889,0.9729214997961401,-0.27550847102426956
N03,localized_specular_flash_glare,3,4.25852511664735,5.08372670763149,3.69803082703034,3.5673968985375697,14.21194255083348,15.090226720799771,3.9782779718388497,4.32556180308453,1.2665924016346202,1.05617797459771,22.616249187523117,24.08918018102144,24.37377925504574,24.59235073256935,0.8782841699662897,0.34728383124568024,-0.2104144270369101,1.4729309934983226,0.21857147752361028,0.8252015909841398,-0.1306339284927703
N03,localized_specular_flash_glare,4,3.59753660081642,4.60398622997724,3.70034127363469,3.7061972036357997,12.978259779566809,13.809492582649959,3.6489389372255503,4.1550917168065205,0.9774515476148301,1.02622327154026,19.20682287936102,22.341773915891743,24.944806418609662,23.419456532912992,0.8312328030831512,0.5061527795809699,0.0487717239254299,3.13495103653072,-1.5253498856966696,1.0064496291608203,0.005855930001109899
N03,localized_specular_flash_glare,5,4.10662622174784,5.33135199441576,3.55919241250972,3.4744155667011203,13.41355158116391,14.86717868690744,3.83290931712878,4.40288378055844,1.07547448421879,1.01794707718232,22.74804635828231,24.22116018995601,22.58443093736587,23.73085320495242,1.4536271057435295,0.5699744634296601,-0.057527407036469906,1.4731138316737002,1.1464222675865499,1.2247257726679202,-0.08477684580859984
N04,handheld_motion_blur,1,4.76378056087844,5.16078777681818,3.93978341125006,3.7953608869752102,15.0050810984279,15.68224514447221,4.35178198606425,4.478074331896701,1.26102061554054,1.07370107916253,22.25089957248026,24.82140892334881,24.53145759342893,25.63747974603609,0.6771640460443096,0.12629234583245025,-0.1873195363780099,2.5705093508685497,1.1060221526071612,0.39700721593973964,-0.14442252427484953
N04,handheld_motion_blur,2,4.3868906318174705,5.06575485478831,3.7387999438691,3.18120155659177,13.52163415822099,14.73949134534843,4.06284528784329,4.12347820569004,1.35384767568342,1.0440594391139801,20.353841964316167,24.234948064055022,26.14658240364987,25.16337789613326,1.2178571871274384,0.06063291784675004,-0.30978823656944,3.8811060997388513,-0.9832045075166107,0.6788642229708396,-0.5575983872773298
N04,handheld_motion_blur,3,2.38752468985165,3.9724093812353605,2.82368024117821,2.4919475997076597,9.60516754415392,11.44711423967518,2.60560246551493,3.23217849047151,0.8094316940873999,0.82972677510876,20.4462392400129,21.32708558341929,18.76067769396077,19.3358657927071,1.8419466955212598,0.62657602495658,0.020295081021360142,0.8808463434063885,0.5751880987463293,1.5848846913837102,-0.33173264147055015
N04,handheld_motion_blur,4,1.53288579577214,2.29875827764117,1.9541090163750898,1.7510137162320398,5.68195220746135,6.894972445054471,1.74349740607361,2.0248859969366,0.78964813758566,0.81886083824957,15.86423173684376,15.94729652581362,11.51241772486892,14.41739564619323,1.2130202375931203,0.2813885908629903,0.02921270066391004,0.08306478896986103,2.904977921324309,0.7658724818690298,-0.20309530014305
N04,handheld_motion_blur,5,0.83824998312597,1.92682503358867,0.67690912601329,0.7374947550661201,2.96482291943986,4.45505030492572,0.75757955456963,1.3321598943274,0.29807785239343,0.38260130600991,13.18018025789684,12.63200736416707,6.75099495303038,8.99178092921025,1.49022738548586,0.5745803397577699,0.08452345361647999,-0.5481728937297703,2.2407859761798696,1.0885750504627,0.060585629052830034
N05,autofocus_defocus_blur,1,4.63496542600383,5.21599525302813,3.73184313295798,3.73679652084458,14.49524756847148,15.582208512401479,4.18340427948091,4.476395886936349,1.33656645115857,1.1340841977373801,22.74675082868266,24.539380660480813,25.25810036175659,26.27238950269481,1.0869609439299988,0.2929916074554395,-0.20248225342118994,1.792629831798151,1.0142891409382182,0.5810298270243,0.004953387886599825
