variant_id,family,status,best_pt,error,val_mAP50,val_mAP50_95,val_precision,val_recall,val_AP_BG_mAP50_95,val_AP_WSSV_mAP50_95,devtest_mAP50,devtest_mAP50_95,devtest_precision,devtest_recall,devtest_AP_BG_mAP50_95,devtest_AP_WSSV_mAP50_95,elapsed_sec
10,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD010_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11563465608862435,0.03171972293081954,0.16806316951589517,0.25907899080111857,0.03451152646911209,0.02892791939252699,0.13544647922001007,0.03873473938432863,0.22639938666852152,0.25041731732270744,0.04276587434549838,0.03470360442315888,2262.0957305431366
11,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD011_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.11621773679950677,0.03259160221847168,0.18932231237135544,0.21081257108560889,0.03581322424126794,0.02936998019567543,0.15354915000545138,0.04408989615355666,0.2273475636245606,0.27952428272820284,0.05065414039543298,0.037525651911680356,2289.087415933609
12,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD012_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.117918077193332,0.034038174842525665,0.19901945646007674,0.23006234313011092,0.04291961615223269,0.025156733532818647,0.1432898633175923,0.039393405555976445,0.2391741240003954,0.28026590823424596,0.047586307293903535,0.03120050381804937,2241.300096511841
13,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD013_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12283702322821316,0.03493896418564594,0.1994198105383535,0.23011315836539648,0.04166143893261646,0.02821648943867542,0.14088137387863975,0.038646644193317044,0.24686220339406584,0.2369970775549366,0.0471373926237578,0.030155895762876268,2294.4407634735107
14,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD014_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12356963461079129,0.035829690323857015,0.17584716224484215,0.23031705721608214,0.04364186090680396,0.028017519740910057,0.14080938756545236,0.039875075763830974,0.22538209907648699,0.24425423803486374,0.04646403394981065,0.03328611757785131,2323.14235496521
15,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD015_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12361675357531482,0.03302998706844768,0.19770210897317153,0.2503980546724326,0.03168832836893935,0.034371645767956004,0.14197010529693024,0.04005396100142693,0.22326516791370205,0.2418213147576133,0.04537626222636497,0.034731659776488885,2221.545990228653
16,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD016_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.10822008021211074,0.031393596167325497,0.1588213744448278,0.2471646643373629,0.034824869880513316,0.027962322454137684,0.1545871635733666,0.04447351605827503,0.22072909420368608,0.2639183281851959,0.05350619106867621,0.035440841047873844,2258.5671849250793
17,B_DCCM,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD017_B_DCCM_EV015FAIR_200E_SEED42/weights/best.pt,,0.12122344823488926,0.031250919443023426,0.17961872285187747,0.2386321879885154,0.030345079098350585,0.03215675978769627,0.13049764606198516,0.038134426629530344,0.21997307667539723,0.2432433755464287,0.04195249334278387,0.03431635991627682,2295.098090648651
18,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD018_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11638020168084362,0.032032882692121054,0.19074292770574117,0.19158212041379397,0.03397531898125685,0.030090446402985256,0.14489079037555658,0.04123112815671764,0.23445454632667273,0.24720115918758964,0.049273666333252135,0.03318858998018314,2223.7186794281006
19,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD019_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.12281868751660945,0.03207364165473842,0.18919558237587603,0.2504067043235523,0.030540332424534022,0.033606950884942824,0.1303648363217633,0.03498628873055641,0.21446410052270554,0.2461707158277079,0.038992584639003125,0.030979992822109687,2251.27015709877
