condition,noise_id,noise_name,severity,model,mAP50,mAP50_95,mAP75,precision,recall,AP_BG_mAP50_95,AP_WSSV_mAP50_95,speed,model_path,data_yaml,cuda_visible_devices
corruption,N02,global_overexposure_clipping,5,baseline,0.1208033775144181,0.034086370790155904,0.008561110230976832,0.2079052043533151,0.24534587161801635,0.03391590928517445,0.03425683229513737,"{'preprocess': 0.9921148648900598, 'inference': 6.780528738795305, 'loss': 0.002600963935119662, 'postprocess': 0.5237947387794119}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S5/data.yaml,0
corruption,N02,global_overexposure_clipping,5,recsra,0.10454513603572725,0.03188437390804049,0.009007562965723949,0.18066743951311653,0.20455157356778164,0.03188335487598551,0.031885392940095486,"{'preprocess': 1.0052712702852182, 'inference': 8.466341828827828, 'loss': 0.0025980269882737803, 'postprocess': 0.518266558624869}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N02_S5/data.yaml,0
corruption,N03,localized_specular_flash_glare,1,baseline,0.14319710505482852,0.04104502188838514,0.013431644906880367,0.2135948535069802,0.24398500105247184,0.04438982885893853,0.037700214917831744,"{'preprocess': 0.9603404054163351, 'inference': 6.798047297256293, 'loss': 0.002633792760903603, 'postprocess': 0.5532860090383324}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S1/data.yaml,0
corruption,N03,localized_specular_flash_glare,1,recsra,0.16309012615809412,0.04654354885889657,0.011520410576417343,0.23879353425346364,0.2539834835349347,0.0547375519476629,0.03834954577013026,"{'preprocess': 0.974133333255776, 'inference': 8.443118252306792, 'loss': 0.0027472973391644423, 'postprocess': 0.5573209369718858}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S1/data.yaml,0
corruption,N03,localized_specular_flash_glare,2,baseline,0.14794196214191674,0.04312163358275796,0.01365206683765297,0.2271275333910243,0.23924398255344353,0.04497622701143077,0.041267040154085145,"{'preprocess': 0.9934254324082405, 'inference': 6.776233729765777, 'loss': 0.0025847838113403263, 'postprocess': 0.5613679640035869}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S2/data.yaml,0
corruption,N03,localized_specular_flash_glare,2,recsra,0.16113850352208586,0.04660869872661729,0.011299176491640407,0.23866245819925558,0.2543751009638684,0.05470544200939218,0.03851195544384241,"{'preprocess': 0.9369019549381306, 'inference': 8.44207959459242, 'loss': 0.002777198132789308, 'postprocess': 0.5675331621705072}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S2/data.yaml,0
corruption,N03,localized_specular_flash_glare,3,baseline,0.1421194255083348,0.0397827797183885,0.012665924016346268,0.22616249187523124,0.24373779255045747,0.04258525116647354,0.036980308270303464,"{'preprocess': 0.9571889368581233, 'inference': 6.780941801791726, 'loss': 0.002612297222341268, 'postprocess': 0.5525263153407372}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S3/data.yaml,0
corruption,N03,localized_specular_flash_glare,3,recsra,0.1509022672079977,0.043255618030845315,0.01056177974597711,0.2408918018102144,0.2459235073256935,0.0508372670763149,0.03567396898537574,"{'preprocess': 0.971150198196696, 'inference': 8.460828405437857, 'loss': 0.0025798558658812203, 'postprocess': 0.5664217838161963}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S3/data.yaml,0
corruption,N03,localized_specular_flash_glare,4,baseline,0.12978259779566814,0.03648938937225559,0.009774515476148358,0.1920682287936102,0.2494480641860966,0.03597536600816421,0.03700341273634698,"{'preprocess': 0.9762533693467523, 'inference': 6.80655527024076, 'loss': 0.002675072037901201, 'postprocess': 0.5392061801775287}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S4/data.yaml,0
corruption,N03,localized_specular_flash_glare,4,recsra,0.1380949258264996,0.04155091716806525,0.010262232715402674,0.2234177391589174,0.23419456532912997,0.046039862299772465,0.037061972036358026,"{'preprocess': 1.0081056936525765, 'inference': 8.430700801844003, 'loss': 0.00270486485565958, 'postprocess': 0.5469771711858328}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S4/data.yaml,0
